Code,Name,Model,Size,RACKNO,Sale_rate,GST_rate,Brand_name,Lingam_stock,Kumari_stock
"220410530","NOZZLE; DIA 1.6; 12/16/20S; A/","","","",473,18,"ELGI ROCD SPARES",0,0
"220410550","SHAFT; CHECK VALVE; 16S","","",null,483,18,"ELGI ROCD SPARES",0,0
"220410560","SPRING; COMPRESSION; 16S","","",null,235,18,"ELGI ROCD SPARES",0,0
"220410570","TUBE SHAFT SEAL 16S","","",null,797,18,"ELGI ROCD SPARES",0,0
"220410580","TUBE, O/L BRG, 3/8\", 16S","","",null,622,18,"ELGI ROCD SPARES",0,0
"220410590","TUBE, FILTER SUPPLY, 3/4\", 16S","","",null,2367,18,"ELGI ROCD SPARES",0,0
"220410610","RING; DISTANCE; MALE; 20S","","","",1156,18,"ELGI ROCD SPARES",0,0
"220410620","RETAINER  BRG  MA E20","","","",1264,18,"ELGI ROCD SPARES",0,0
"220410650","RING; DISTANCE I/P SHAFT; 20S","","","",663,18,"ELGI ROCD SPARES",0,0
"220410680","ORIFICE, DIA 0.062","","","",243,18,"ELGI ROCD SPARES",0,0
"220410700","REDUCER 20S 1/8\"X1/4\"","","","",269,18,"ELGI ROCD SPARES",0,0
"220411489","OBS RETURN OIL STRAINER 1/4\"","","",null,272,18,"ELGI ROCD SPARES",0,0
"220411509","KIT MOF HFR20-10.149 G2N","","","I76/B",2159,18,"ELGI ROCD SPARES",0,0
"220411610","VALVE; SOLENOID; 1/4\"; NO","","","",2863,18,"ELGI ROCD SPARES",0,0
"220411630","GASKET SEPARATOR ELEMENT E16","","","",359,18,"ELGI ROCD SPARES",0,0
"220411660","VALVE; GATE 1/2\"","","",null,1664,18,"ELGI ROCD SPARES",0,0
"220411950","FILTER, OIL, BRG, HFR 10-06-25","","","",5392,18,"ELGI ROCD SPARES",0,0
"220411959","OBS;BOF 10-25 G2N WITH O RING","","","I77/B",542,18,"ELGI ROCD SPARES",0,4
"220412000","GASKET, BFV, 4\"","","","",143,18,"ELGI ROCD SPARES",0,0
"220412350","GASKET SEPARATOR ELEMENT E10","","","",172,18,"ELGI ROCD SPARES",0,0
"220412619","I/L AIR FILTER KIT DSK2534 E10","","","I80/A",3829,18,"ELGI RCD SPARES",0,3
"220412631","ELEMENT, SEPERATOR, 10S EP","","","",12733,18,"ELGI ROCD SPARES",0,0
"220413100","VALVE ASSY; TER CHECK; 2\"NPT","","","",13614,18,"ELGI ROCD SPARES",0,0
"220413130","INDICATOR; AIR FILTER CLOG","COMMON","","",586,18,"ELGI ROCD SPARES",0,-1
"220413160","GASKET, BFV, 6\", DPSAC","","","",216,18,"ELGI ROCD SPARES",0,0
"220413230","GASKET, FLANGE, AIR O/L, 16S D","","",null,107,18,"ELGI ROCD SPARES",0,0
"220413241","ELEMENT, SEPERATOR, 12S EP","","","",23356,18,"ELGI ROCD SPARES",0,0
